author|title|keywords|abstract|year|ENTRYTYPE|doi
Jorge Merino and Ismael Caballero and Bibiano Rivas and Manuel Serrano and Mario Piattini|A Data Quality in Use model for Big Data|Data Quality, Big Data, Measurement, Quality-in-Use, Model|Beyond the hype of Big Data, something within business intelligence projects is indeed changing. This is mainly because Big Data is not only about data, but also about a complete conceptual and technological stack including raw and processed data, storage, ways of managing data, processing and analytics. A challenge that becomes even trickier is the management of the quality of the data in Big Data environments. More than ever before the need for assessing the Quality-in-Use gains importance since the real contribution–business value–of data can be only estimated in its context of use. Although there exists different Data Quality models for assessing the quality of regular data, none of them has been adapted to Big Data. To fill this gap, we propose the “3As Data Quality-in-Use model”, which is composed of three Data Quality characteristics for assessing the levels of Data Quality-in-Use in Big Data projects: Contextual Adequacy, Operational Adequacy and Temporal Adequacy. The model can be integrated into any sort of Big Data project, as it is independent of any pre-conditions or technologies. The paper shows the way to use the model with a working example. The model accomplishes every challenge related to Data Quality program aimed for Big Data. The main conclusion is that the model can be used as an appropriate way to obtain the Quality-in-Use levels of the input data of the Big Data analysis, and those levels can be understood as indicators of trustworthiness and soundness of the results of the Big Data analysis.|2016|article|https://doi.org/10.1016/j.future.2015.11.024
Yuri A.W. Shardt and Xu Yang and Kevin Brooks and Andrei Torgashov|Data Quality Assessment for System Identification in the Age of Big Data and Industry 4.0|data quality assessment, system identification, big data, Industry 4.0, soft sensors|As the amount of data stored from industrial processes increases with the demands of Industry 4.0, there is an increasing interest in finding uses for the stored data. However, before the data can be used its quality must be determined and appropriate regions extracted. Initially, such testing was done manually using graphs or basic rules, such as the value of a variable. With large data sets, such an approach will not work, since the amount of data to tested and the number of potential rules is too large. Therefore, there is a need for automated segmentation of the data set into different components. Such an approach has recently been proposed and tested using various types of industrial data. Although the industrial results are promising, there still remain many unanswered questions including how to handle a priori knowledge, over- or undersegmentation of the data set, and setting the appropriate thresholds for a given application. Solving these problems will provide a robust and reliable method for determining the data quality of a given data set.|2020|article|https://doi.org/10.1016/j.ifacol.2020.12.103
Yi-Chia Lee and Ying-Ting Chao and Pei-Ju Lin and Yen-Yun Yang and Yu-Cih Yang and Cheng-Chieh Chu and Yu-Chun Wang and Chin-Hao Chang and Shu-Lin Chuang and Wei-Chun Chen and Hsing-Jen Sun and Hsin-Cheng Tsou and Cheng-Fu Chou and Wei-Shiung Yang|Quality assurance of integrative big data for medical research within a multihospital system|Big data, Electronic health record, Evidence based healthcare management, Validation study|"Background
The need is growing to create medical big data based on the electronic health records collected from different hospitals. Errors for sure occur and how to correct them should be explored.
Methods
Electronic health records of 9,197,817 patients and 53,081,148 visits, totaling about 500 million records for 2006–2016, were transmitted from eight hospitals into an integrated database. We randomly selected 10% of patients, accumulated the primary keys for their tabulated data, and compared the key numbers in the transmitted data with those of the raw data. Errors were identified based on statistical testing and clinical reasoning.
Results
Data were recorded in 1573 tables. Among these, 58 (3.7%) had different key numbers, with the maximum of 16.34/1000. Statistical differences (P < 0.05) were found in 34 (58.6%), of which 15 were caused by changes in diagnostic codes, wrong accounts, or modified orders. For the rest, the differences were related to accumulation of hospital visits over time. In the remaining 24 tables (41.4%) without significant differences, three were revised because of incorrect computer programming or wrong accounts. For the rest, the programming was correct and absolute differences were negligible. The applicability was confirmed using the data of 2,730,883 patients and 15,647,468 patient-visits transmitted during 2017–2018, in which 10 (3.5%) tables were corrected.
Conclusion
Significant magnitude of inconsistent data does exist during the transmission of big data from diverse sources. Systematic validation is essential. Comparing the number of data tabulated using the primary keys allow us to rapidly identify and correct these scattered errors."|2022|article|https://doi.org/10.1016/j.jfma.2021.12.024
Marjan Asgari and Wanhong Yang and Mahdi Farnaghi|Spatiotemporal data partitioning for distributed random forest algorithm: Air quality prediction using imbalanced big spatiotemporal data on spark distributed framework|Big spatiotemporal data, Distributed systems, Air quality prediction, Distributed random forest algorithm, Imbalanced data|Spatiotemporal air quality datasets are typically collected hourly in monitoring stations deployed non-uniformly across a metropolitan city. These datasets are not only big, which poses challenges on the storage and processing capacity of centralized computing systems but also imbalanced and spatially heterogeneous, which may result in biased air quality prediction. To address these challenges, we designed and developed a parallel air quality prediction system equipped with a spatiotemporal data partitioning method, a distributed machine learning algorithm, Hadoop’s distributed data storage platform and its resource scheduler/manager, and Spark’s efficient and in-memory execution environment, which is suitable for running iterative algorithms, e.g., machine learning. Our proposed spatiotemporal partitioning method accounted for imbalance and spatial heterogeneity features of big air quality data in predictive models, which comply with the load-balancing requirement of distributed computing systems. Distributed Random Forest algorithm in the H2O library of the Spark framework was selected as the distributed machine learning algorithm to develop the air quality predictive model. This algorithm is an ensemble forest with algorithm-level adjustments to perform as efficiently as possible for big imbalanced datasets. An application of the parallel quality prediction system for Tehran, Iran showed that the parallel prediction system had considerable speedup gain and improved both the overall accuracy and class precision of air quality prediction when working with imbalanced big spatiotemporal air quality datasets. A future research direction is to add data streaming and visualization functions to the system to provide rapid and reliable air quality prediction for supporting environmental health management.|2022|article|https://doi.org/10.1016/j.eti.2022.102776
Xinmin Zhang and Jiang Zhai and Zhihuan Song and Yuan Li|Hashing-based just-in-time learning for big data quality prediction|Virtual sensor, soft-sensor, big data quality prediction, hashing-based just-in-time modeling|In recent years, the just-in-time (JIT) predictive models have attracted considerable attention due to their ability to prevent degradation of prediction accuracy. However, one of their practical limitations is expensive computation, which becomes a major factor that prevents them from being used for big data quality prediction. This is because the JIT modeling methods need to update the local regression model using the relevant samples that are searched through the lineal scan of the database during online operation. To solve this issue, the present work proposes a novel hashing-based JIT (HbJIT) modeling method that is suitable for big data quality prediction. In HbJIT, a family of locality-sensitive hash functions is firstly used to hash big data into a set of buckets, in which similar samples are grouped on themselves. During online prediction, HbJIT looks up multiple buckets that have a high probability of containing similar samples of a query object through the intelligent probing scheme, uses the data objects in the buckets as the candidate set of the results, and then filters the candidate objects using a linear scan. After filtering, the most relevant samples are used to construct the local regression model to yield the prediction of the query object. By integrating the multi-probe hashing strategy into the JIT learning framework, HbJIT can not only deal with process nonlinearity and time-varying characteristics but also is applicable to large-scale industrial processes. Experimental results on real-world dataset have demonstrated that the proposed HbJIT is time-efficient in processing large-scale datasets, and greatly reduces the online prediction time without compromising on the prediction accuracy.|2022|incollection|https://doi.org/10.1016/B978-0-323-85159-6.50280-3
Jiaying Lyu and Asif Khan and Sughra Bibi and Jin Hooi Chan and Xiaoguang Qi|Big data in action: An overview of big data studies in tourism and hospitality literature|Big data, Content analysis, Philosophy grounding, Methodological approaches, Research focus|Tourism research has marched into the big data arena and brought remarkable developments. Despite the promising role of big data and increasing volume of research, it is worth noting that current big data research in the tourism and hospitality field is rather vague or insufficient, particularly from the perspectives of its philosophical grounding, methodological approaches, and implications. This article aims to provide a comprehensive review of big data research from the tourism and hospitality literature. A content analysis of 146 big-data-related articles identifies the research and methodological trends in these fields. The findings reveal that big data have expanded the scope of tourism research. It offers useful and practical knowledge for destination, hotel, revenue, and reputation management. However, big data research is rather limited in methodologies, and there is a need for more solid theoretical and philosophical footings for significant knowledge generation.|2022|article|https://doi.org/10.1016/j.jhtm.2022.03.014
Shraddha Mainali and Soojin Park|Artificial Intelligence and Big Data Science in Neurocritical Care|Artificial intelligence, Big data, Neurocritical care, Machine learning||2022|article|https://doi.org/10.1016/j.ccc.2022.07.008
Wenjie Wang and Panli Tian and Jinghua Zhang and Evgenios Agathokleous and Lu Xiao and Takayoshi Koike and Huimei Wang and Xingyuan He|Big data-based urban greenness in Chinese megalopolises and possible contribution to air quality control|Air pollution, Redundancy ordination, Variation partitioning, Street-view greenness, Geographical variation, Bird-view greenness|Urban greenness is essential for people's daily lives, while its contribution to air quality control is unclear. In this study, Streetview big data of urban greenness and air quality data (Air Quality Index, PM2.5, PM10, SO2, NO2, O3, CO) from 206 monitoring stations from 27 provincial capital cities in China were analyzed. The national averages for the sky, ground and middle-level (shrub and short trees) view greenness were 5.4%, 5.5%, and 15.4%, respectively, and the sky:ground:middle ratio was 2:2:6. Street-view/bird-view greenness ratio averaged at 1.1. Large inter-city variations were observed in all the greenness parameters, and the weak associations between all street-view parameters and bird-eye greenspace percentage (21%–73%) indicate their representatives of different aspects of green infrastructures. All air quality parameters were higher in winter than in summer, except O3. Over 90% of air quality variation could be explained by socioeconomics and geoclimates, suggesting that air quality control in China should first reduce efflux from social economics, while geoclimatic-oriented ventilation facilitation design is also critical. For different air quality components, greenness had most significant associations with NO2, O3 and CO, and street-view/bird-view ratio was the most powerful indicator of all greenness parameters. Pooled-data analysis at national level showed that street-view greenness was responsible for 2.3% of the air quality variations in the summer and 3.6% in the winter; however, when separated into different regions (North-South China; East-West China), the explaining power increased up to 16.2%. Increased NO2 was accompanied with decreased O3, indicating NO titration effect. The higher O3 aligned with the higher street-view greenness, showing the greenness-related precursor risk for O3 pollution. Our study manifested that big internet data could identify the association of greenness and air pollution from street view scale, which can favor urban greenness management and evaluation in other regions where street-view data are available.|2022|article|https://doi.org/10.1016/j.scitotenv.2022.153834
Donghui Hu and Yifan Li and Lixuan Pan and Meng Li and Shuli Zheng|A blockchain-based trading system for big data|Big data trading, Blockchain, Smart contract, Proxy re-encryption, Price negotiation, Value reward|Data are an extremely important asset. Governments around the world encourage big data sharing and trading to promote the big data economy. However, existing data trading platforms are not fully trusted. Such platforms face the problems of a single point of failure (SPOF), opaque transactions, uncontrollability, untraceability, and issues of data privacy. Several blockchain-based big data trading methods have been proposed; however, they do not adequately address the security issues introduced by dishonesty in the data provider and data agent or the fairness of data revenue distribution and price bargaining. In this paper, we propose a blockchain-based decentralized data trading system in which data trading is completed by smart contract-based data matching, price negotiation, and reward assigning. Moreover, the proposed data trading system evaluates the data quality on the basis of three metrics, records the evaluation results in a side-chain, and distributes the data users’ application revenue to the data provider according to the evaluated data quality. We verify the security, usability, and efficiency of the proposed big data trading system.|2021|article|https://doi.org/10.1016/j.comnet.2021.107994
Maryam Ghasemaghaei and Goran Calic|Can big data improve firm decision quality? The role of data quality and data diagnosticity|Big data utilization, Data quality, Decision quality, Data diagnosticity|Anecdotal evidence suggests that, despite the large variety of data, the huge volume of generated data, and the fast velocity of obtaining data (i.e., big data), quality of big data is far from perfect. Therefore, many firms defer collecting and integrating big data as they have concerns regarding the impact of utilizing big data on data diagnosticity (i.e., retrieval of valuable information from data) and firm decision making quality. In this study, we use the Organizational Learning Theory and Wang and Strong's data quality framework to explore the impact of processing big data on firm decision quality and the mediating role of data quality (DQ) and data diagnosticity on this relationship. We validate the proposed research model using survey data from 130 firms, obtained from data analysts and IT managers. Results confirm the critical role of DQ in increasing data diagnosticity and improving firm decision quality when processing big data; suggesting important implications for practice and theory. Findings also reveal that while big data utilization positively impacts contextual DQ, accessibility DQ, and representational DQ, interestingly, it negatively impacts intrinsic DQ. Furthermore, findings show that while intrinsic DQ, contextual DQ, and representational DQ significantly increase data diagnosticity, accessibility DQ does not influence it. Most importantly, the findings show that big data utilization does not significantly impact the quality of firm decisions and it is fully mediated through DQ and data diagnosticity. The results of this study contribute to practice by providing important guidelines for managers to improve firm decision quality through the use of big data.|2019|article|https://doi.org/10.1016/j.dss.2019.03.008
